Year,BRAZIL_REAL-US,CANADA_DOLLAR-US,CHINA_YUAN-US,DENMARK_KRONE-US,HONGKONG_DOLLAR-US,INDIA_RUPEE-US,JAPAN_YEN-US,MALAYSIA_RINGGIT-US,MEXICO_PESO-US,NORWAY_KRONE-US,SOUTHAFRICA_RAND-US,SINGAPORE_DOLLAR-US,SOUTHKOREA_WON-US,SRILANKA_RUPEE-US,SWEDEN_KRONA-US,SWITZERLAND_FRANC-US,TAIWAN_DOLLAR-US,THAILAND_BAHT-US,VENEZUELA_BOLIVAR-US,AUSTRALIA_DOLLAR-US,EMUCOUNTRIES_EURO-US,NEWZEALAND_DOLLAR-US,UNITEDKINGDOM_POUND-US
2010,1.7602083333333336,1.030125,6.768958333333334,5.620316666666667,7.768575000000001,45.65086666666667,87.750225,3.2188916666666674,12.627258333333335,6.04085,7.316208333333335,1.3627500000000001,1155.3872,112.992475,7.201241666666667,1.042625,31.49195,31.698283333333336,4.233058333333332,1.0865136493277197,0.7532389273877674,1.385025565263559,0.6466144345895616
2011,1.673725,0.9890249999999999,6.463266666666667,5.357749999999999,7.783908333333334,46.61216666666667,79.71171666666666,3.057658333333334,12.436433333333332,5.6064500000000015,7.259666666666665,1.2572083333333335,1107.4226916666664,110.48191666666666,6.49175,0.8876249999999999,29.389558333333337,30.471675000000005,4.289341666666666,0.9681791776931516,0.7183693016851747,1.2629983581021345,0.6235677428406627
2012,1.953025,0.9994083333333336,6.308458333333333,5.790125,7.756841666666667,53.35910833333333,79.81079166666666,3.085691666666667,13.150566666666668,5.816191666666666,8.203133333333334,1.2489583333333332,1125.7386249999997,127.44858333333333,6.770025,0.9374250000000001,29.55397500000001,31.050158333333332,4.289341666666666,0.9651112290691503,0.7773933999300346,1.233400485137524,0.6306959730062123
2013,2.1570083333333336,1.0299916666666669,6.148033333333333,5.615524999999999,7.7564833333333345,58.525499999999994,97.56168333333333,3.149266666666667,12.765025,5.876033333333335,9.644175000000002,1.25095,1094.2033083333333,129.04801666666668,6.5117666666666665,0.9266166666666668,29.677241666666664,30.704025,6.065558333333333,1.032595601142739,0.7527286413248024,1.218731909448219,0.6390797251957181
2014,2.3544000000000005,1.1046833333333335,6.160658333333331,5.618258333333334,7.754516666666665,61.017383333333335,105.85664166666669,3.2713083333333333,13.3073,6.302116666666667,10.846933333333332,1.2669916666666665,1053.1163833333333,130.54399999999998,6.8612166666666665,0.91515,30.30583333333334,32.468825,6.284199999999999,1.1077468429214978,0.7524879131628948,1.2038885600489582,0.6069956245732061
2015,3.3326833333333337,1.2788083333333333,6.283016666666668,6.723641666666666,7.752391666666667,64.10292500000001,121.01826666666666,3.9039749999999995,15.866575,8.064625000000001,12.758125,1.3746,1130.6933083333333,135.87640000000002,8.4335,0.9627250000000002,31.75045,34.23939166666666,6.284199999999999,1.329124439275627,0.9008670845688976,1.4279084710670047,0.6542254788112722
2016,3.4884416666666667,1.3255833333333331,6.641674999999999,6.730900000000002,7.762200000000001,67.16683333333333,108.757175,4.141075,18.67749166666667,8.397808333333334,14.692383333333332,1.3809583333333333,1159.925,145.728475,8.5605,0.9852083333333331,32.237391666666674,35.275016666666666,9.252933333333333,1.344176355937899,0.9036008493847983,1.4341029685931452,0.7380482314519254
2017,3.1909916666666667,1.2978583333333333,6.756383333333335,6.597883333333332,7.792224999999999,65.10150833333334,112.13693333333332,4.298266666666666,18.916591666666665,8.26825,13.302483333333333,1.3804333333333332,1129.2341333333331,152.41345833333332,8.545666666666667,0.9845416666666665,30.41173333333333,33.91825,9.974999999999998,1.303837628753966,0.8851972883456399,1.4063378961185076,0.7757049218477291
2018,3.6539416666666664,1.2960583333333333,6.612266666666668,6.314675,7.837108333333333,68.40182500000002,110.43084166666665,4.0326249999999995,19.230241666666668,8.137058333333334,13.238516666666667,1.348841666666667,1099.5793083333333,162.510525,8.694025,0.9781333333333332,30.13473333333333,32.3046,241713.666325,1.3370473537604457,0.8464175377713825,1.4431055631719463,0.7486617670913243
2019,3.942341666666666,1.3268416666666665,6.907033333333334,6.669266666666666,7.835091666666667,70.40413333333335,109.02806666666667,4.14075,19.248383333333333,8.799316666666668,14.440566666666667,1.363875,1164.98705,178.566025,9.456433333333333,0.9937083333333333,30.89911666666666,31.038908333333335,13287.085250000002,1.437969586943236,0.8931694863531144,1.516741029108788,0.7828656798209847
2020,5.1574583333333335,1.3413583333333332,6.899908333333333,6.541399999999999,7.756033333333334,74.11025833333333,106.76456666666665,4.2005333333333335,21.499475,9.418966666666666,16.464533333333335,1.3794833333333332,1179.599475,185.28009166666666,9.2106,0.9387666666666666,29.44751666666666,31.292099999999994,314047.6326166666,1.4483832422058878,0.8761810189985252,1.537633581917429,0.7789880944652895
2021,5.372281818181818,1.251181818181818,6.45721818181818,6.261454545454546,7.77009090909091,73.79327272727272,109.40391818181818,4.135745454545455,20.222854545454542,8.558618181818181,14.682563636363636,1.3416999999999997,1140.962027272727,197.4316272727273,8.530445454545456,0.9132181818181819,27.950809090909093,31.839381818181813,2672816.2168090907,1.3245352085540891,0.8416091567076249,1.4078197990657193,0.724513587923017
